row_type,mode,training_seed,seed_count,run_name,checkpoint,cfg_path,slurm_id,ema_fac,n_eval,eval_seed,endpoint_sliced_w2_direct,endpoint_sliced_w2_euler_5,endpoint_sliced_w2_euler_10,endpoint_sliced_w2_euler_25,endpoint_sliced_w2_euler_50,endpoint_sliced_w2_euler_100,endpoint_sliced_w2_flowmap_1,endpoint_sliced_w2_flowmap_2,endpoint_sliced_w2_flowmap_5,endpoint_sliced_w2_flowmap_10,endpoint_sliced_w2_flowmap_25,marginal_sliced_w2_direct_t0_25,marginal_sliced_w2_euler_5_t0_25,marginal_sliced_w2_euler_10_t0_25,marginal_sliced_w2_euler_25_t0_25,marginal_sliced_w2_euler_50_t0_25,marginal_sliced_w2_euler_100_t0_25,marginal_sliced_w2_direct_t0_50,marginal_sliced_w2_euler_5_t0_50,marginal_sliced_w2_euler_10_t0_50,marginal_sliced_w2_euler_25_t0_50,marginal_sliced_w2_euler_50_t0_50,marginal_sliced_w2_euler_100_t0_50,marginal_sliced_w2_direct_t0_75,marginal_sliced_w2_euler_5_t0_75,marginal_sliced_w2_euler_10_t0_75,marginal_sliced_w2_euler_25_t0_75,marginal_sliced_w2_euler_50_t0_75,marginal_sliced_w2_euler_100_t0_75,analytic_point_violation_pct,analytic_node_trajectory_violation_rate,analytic_trajectory_violation_rate,direct_point_violation_pct,direct_node_trajectory_violation_rate,direct_trajectory_violation_rate,euler_5_point_violation_pct,euler_5_node_trajectory_violation_rate,euler_5_trajectory_violation_rate,euler_10_point_violation_pct,euler_10_node_trajectory_violation_rate,euler_10_trajectory_violation_rate,euler_25_point_violation_pct,euler_25_node_trajectory_violation_rate,euler_25_trajectory_violation_rate,euler_50_point_violation_pct,euler_50_node_trajectory_violation_rate,euler_50_trajectory_violation_rate,euler_100_point_violation_pct,euler_100_node_trajectory_violation_rate,euler_100_trajectory_violation_rate,flowmap_1_point_violation_pct,flowmap_1_node_trajectory_violation_rate,flowmap_1_trajectory_violation_rate,flowmap_2_point_violation_pct,flowmap_2_node_trajectory_violation_rate,flowmap_2_trajectory_violation_rate,flowmap_5_point_violation_pct,flowmap_5_node_trajectory_violation_rate,flowmap_5_trajectory_violation_rate,flowmap_10_point_violation_pct,flowmap_10_node_trajectory_violation_rate,flowmap_10_trajectory_violation_rate,flowmap_25_point_violation_pct,flowmap_25_node_trajectory_violation_rate,flowmap_25_trajectory_violation_rate
per_seed,vanilla-flow-matching,7,,vanilla-flow-matching-7,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/vanilla-flow-matching-7_4.pkl,configs.box_avoiding_bezier_comparison,0,0.9999,4096,12345,2.261186154,0.6318762446,0.4836029423,0.4194454765,0.4245955606,0.3910527367,2.136850168,0.5720599556,0.424675323,0.4091011359,0.4092491849,0.2827724706,0.8539853187,0.5979399332,0.3218027109,0.3068644769,0.2680732475,0.5567913532,1.002357692,0.5248724924,0.4767243364,0.418391203,0.4107477682,1.028244702,0.5177987769,0.3399100327,0.3602119719,0.3540703307,0.3770915797,0.01509897132,0.01782226562,0.02026367188,10.13548891,0.3474121094,0.3479003906,13.1266276,0.3569335938,0.7734375,4.596502131,0.1652832031,0.2819824219,1.68738732,0.1628417969,0.2495117188,1.376761642,0.2199707031,0.2736816406,1.235931699,0.2648925781,0.2983398438,0,0,0.5834960938,7.267252604,0.2180175781,0.4604492188,5.700683594,0.1716308594,0.2731933594,3.560014205,0.1518554688,0.298828125,1.98035607,0.2080078125,0.3068847656
per_seed,vanilla-flow-matching,8,,vanilla-flow-matching-8,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/vanilla-flow-matching-8_4.pkl,configs.box_avoiding_bezier_comparison,0,0.9999,4096,12345,0.9824269125,0.586567391,0.4515143038,0.3723954989,0.3726020276,0.3428698659,0.9374105588,0.5093106852,0.415114865,0.3756979455,0.3650475833,0.2782983965,0.8205805785,0.5615149774,0.2531411918,0.2376425411,0.196946606,0.5037121352,0.8866981027,0.319639368,0.3375877984,0.2912735087,0.3018076611,0.6626645682,0.3128023931,0.1755803521,0.2502942984,0.2605969086,0.2965896529,0.01509897132,0.01782226562,0.02026367188,9.079839464,0.2983398438,0.2993164062,11.49088542,0.3010253906,0.7521972656,4.549893466,0.1665039062,0.2561035156,1.369065505,0.1020507812,0.15625,0.8812997855,0.1215820312,0.1628417969,0.694713026,0.1499023438,0.1701660156,0,0,0.986328125,6.193033854,0.1857910156,0.4299316406,5.769856771,0.1730957031,0.2626953125,3.233753551,0.1240234375,0.2355957031,1.505220853,0.1296386719,0.2048339844
per_seed,vanilla-flow-matching,9,,vanilla-flow-matching-9,/mnt/pdata/hmka3/flow-maps/outputs/box_avoiding_bezier_comparison/vanilla-flow-matching-9_4.pkl,configs.box_avoiding_bezier_comparison,0,0.9999,4096,12345,0.849019365,0.5848749144,0.4827364815,0.4905969622,0.508606393,0.47566788,0.8263341311,0.4120568844,0.4452658206,0.4752338366,0.4827172241,0.2960177589,0.8584610958,0.5887273859,0.3335563326,0.3300163686,0.2997708948,0.4814885258,0.9279652911,0.4588460743,0.5003961312,0.4690990764,0.4728643513,0.5509089536,0.3774841978,0.3486085076,0.4194578862,0.4374046199,0.4556231023,0.01509897132,0.01782226562,0.02026367188,10.31880747,0.3312988281,0.3317871094,14.51009115,0.3474121094,0.8259277344,6.378728693,0.2504882812,0.4619140625,3.651780349,0.4187011719,0.5620117188,3.542911305,0.5463867188,0.6247558594,3.675887608,0.6259765625,0.6569824219,0,0,0.9936523438,7.32421875,0.2197265625,0.4975585938,6.697591146,0.2492675781,0.3681640625,5.382191051,0.3081054688,0.5397949219,4.268704928,0.505859375,0.6459960938
mean,constrained-flow-map,,6,,,,,,,,0.4783929985,0.4529904328,0.3438706636,0.3086063346,0.3141311312,0.2980870369,0.5056088127,0.4038922777,0.3364154054,0.3345792034,0.3259325818,0.2408997338,0.7259274357,0.5203917804,0.2816189471,0.2687920006,0.2326516805,0.3681537062,0.7527505115,0.3660481172,0.3754499065,0.3324624104,0.3327244346,0.3806368219,0.2613439872,0.2781130365,0.2902639822,0.3055206,0.3245537931,0.01509897132,0.01782226562,0.02026367188,4.431608966,0.3482259115,0.3543294271,3.677707248,0.1186116537,0.6223551432,2.276426373,0.151570638,0.3651123047,1.942482973,0.2794596354,0.3830566406,2.209153518,0.373453776,0.4277750651,2.422269815,0.428914388,0.4571533203,0.002034505208,4.069010417e-05,0.9997965495,1.761881511,0.05037434896,0.9038085938,6.446668837,0.3154703776,0.5262044271,3.628077652,0.3120930989,0.5245361328,3.101055439,0.4143473307,0.5214436849
std,constrained-flow-map,,6,,,,,,,,0.06018878584,0.08177132758,0.07869891055,0.08376945038,0.09613220518,0.0885823252,0.06500493464,0.06727114106,0.0857509159,0.09007757335,0.09680538807,0.02826879465,0.02874272005,0.02039731704,0.04755484336,0.05517964162,0.06189219163,0.03891282574,0.04652406233,0.09767672498,0.09341890365,0.09908293735,0.09973111937,0.06562184737,0.06073954342,0.04436517433,0.06716776633,0.0672126728,0.07317264984,0,0,0,0.4996281691,0.09479885422,0.09603161131,1.053009006,0.03790314983,0.06195698724,0.6425751975,0.04917998631,0.08456881127,0.9431551926,0.1403975166,0.1689537796,1.195172666,0.1858310598,0.2003923393,1.361266314,0.2072499637,0.2128596432,0.004983499639,9.966999279e-05,9.966998258e-05,0.1996553578,0.0015181281,0.0684710653,2.750727686,0.1627487931,0.2146137833,1.648644976,0.1622252758,0.2077791201,1.539116517,0.1955866251,0.2169170104
mean,constrained-flow-matching,,6,,,,,,,,1.863578328,0.6044912697,0.4986688504,0.4589305561,0.4657949405,0.4339733741,1.766456166,0.6780877832,0.453563698,0.4422170373,0.4446441274,0.2949037536,0.8082464385,0.5649988013,0.2913254988,0.2753770793,0.2364616397,0.6977979778,0.8937190591,0.4700176775,0.4388184718,0.3789938293,0.3754067527,1.146467984,0.4405404333,0.3209444475,0.3607164857,0.3593955816,0.3849922142,0.01509897132,0.01782226562,0.02026367188,8.100973559,0.3047688802,0.305867513,7.860649957,0.2238769531,0.6837972005,3.481963187,0.1654052734,0.3049316406,1.737467448,0.206624349,0.295328776,1.617471533,0.2717285156,0.3261311849,1.644605378,0.3165690104,0.3439127604,0,0,0.7572835287,5.449761285,0.1634928385,0.3774414062,4.267713759,0.1575927735,0.3060709635,3.065814394,0.1759847005,0.3345947266,2.123866937,0.2611897786,0.3591308594
std,constrained-flow-matching,,6,,,,,,,,0.7759920305,0.06884272001,0.0710449648,0.07694931534,0.07587427513,0.0733777177,0.7334334629,0.1239170301,0.08610992442,0.07591699159,0.07019201273,0.02611891528,0.0248455945,0.01289302148,0.03656381225,0.04320975288,0.05098481893,0.2606748324,0.06643504407,0.1065219532,0.0728700367,0.08642485069,0.08557262283,0.5058988122,0.1419814594,0.08439134732,0.07233256387,0.07752614872,0.07270945018,0,0,0,0.5957358054,0.08244722047,0.08252854758,0.9559227598,0.01378908326,0.07043504281,0.7255597324,0.04472766859,0.1081319747,1.228985871,0.1550855864,0.1813109767,1.440068279,0.1934017867,0.2032283471,1.553840396,0.2104151534,0.2122903837,0,0,0.1751092172,0.4283310772,0.01284993233,0.02652495481,0.9008219922,0.05112301191,0.08120055037,1.168896521,0.1016040912,0.1657607153,1.540171129,0.1827939679,0.2030443471
mean,vanilla-flow-map,,6,,,,,,,,0.5542506238,0.4918371718,0.3562740885,0.3041865572,0.3057408376,0.2886107021,0.5838633868,0.4431093649,0.3412652438,0.3264377945,0.3148687601,0.2487491889,0.7143189963,0.5088601327,0.2649053914,0.2547012476,0.2196232548,0.3902723978,0.7386297476,0.3291812692,0.3584808619,0.3155841664,0.319019673,0.4371099754,0.2376215596,0.2315113104,0.2624337302,0.2767366936,0.2995053167,0.01509897132,0.01782226562,0.02026367188,7.175542589,0.3926188151,0.3971761067,4.016113281,0.1138102213,0.5871988932,2.05448035,0.1072998047,0.2782389323,1.313664363,0.1842854818,0.2722167969,1.353703917,0.2542317708,0.3094075521,1.447560528,0.3062744141,0.3354085286,0.2217610677,0.004435221353,0.9997558594,2.514648437,0.07173665364,0.8555908203,5.655924479,0.2414550781,0.423055013,3.016616359,0.2291666667,0.4253743489,2.193040114,0.3035481771,0.4142252604
std,vanilla-flow-map,,6,,,,,,,,0.05039575659,0.1153849847,0.1029072034,0.07874111643,0.08333914829,0.07530734489,0.05750158629,0.05952070589,0.07403837299,0.07898512436,0.08224734164,0.02117630823,0.03777659348,0.01780592682,0.03516360055,0.03985815624,0.04668345167,0.03217427531,0.04134407054,0.07677639986,0.06423525952,0.06988638441,0.06906061504,0.05036204447,0.06537822643,0.05074452668,0.0487554032,0.04046577384,0.04502082863,0,0,0,0.425674944,0.03410196825,0.03495405473,1.049422951,0.03283429708,0.08217418268,0.4657772299,0.02396697567,0.05303118032,0.5103175278,0.07624076922,0.1029951723,0.6483980188,0.1145696227,0.1325154892,0.734065485,0.1424271921,0.1510508458,0.2022711585,0.00404542317,1.216188389e-16,0.2678880223,0.003925783271,0.07354863463,1.776159169,0.1082120926,0.1604035058,1.081652448,0.1025011168,0.1559090263,0.9548897768,0.1338493416,0.1687822146
mean,vanilla-flow-matching,,6,,,,,,,,1.467693612,0.659324423,0.5214747498,0.4688473317,0.4741549539,0.4398558261,1.391325413,0.5506721206,0.4867336871,0.4634088923,0.4561019881,0.2905601596,0.8249666866,0.5770732299,0.2952271934,0.2816106112,0.2440786378,0.578545668,0.9319275268,0.4218640025,0.4295094323,0.3780390741,0.3787995903,0.8332176831,0.4056784045,0.2848600023,0.3519519148,0.3561894572,0.3828584645,0.01509897132,0.01782226562,0.02026367188,10.13789379,0.3527832031,0.3537190755,13.40060764,0.3322753906,0.7248535156,5.154696378,0.1843668619,0.3140462239,2.175355569,0.2101236979,0.2986246745,1.796827129,0.2718912761,0.3268229167,1.711361322,0.3195800781,0.3470458985,0,0,0.8361816406,6.83186849,0.2049560547,0.4602457683,6.582980686,0.201578776,0.3068033854,4.056063565,0.1874186198,0.3454996745,2.499311398,0.263264974,0.3636881511
std,vanilla-flow-matching,,6,,,,,,,,0.5473698456,0.0783406191,0.06978984057,0.07130426041,0.07056620829,0.06824580041,0.5093399022,0.0815510545,0.08372278108,0.0681560241,0.06499161106,0.008223171151,0.02535700619,0.01382484371,0.03427255287,0.04273286116,0.05323462652,0.1622536448,0.04702196169,0.07017006177,0.07090134891,0.08492166979,0.08653678064,0.304230962,0.08847660003,0.06227887736,0.06879369282,0.07192043651,0.07108675225,0,0,0,1.483518912,0.07115382077,0.07137185779,2.534320892,0.03989141269,0.06918292287,0.7594093255,0.03442899335,0.08038385846,0.8362253032,0.1208178587,0.1547497569,1.005089629,0.1629329977,0.1777588321,1.137197197,0.1841791438,0.1875395892,0,0,0.156987092,0.8109773568,0.02432932072,0.03391689458,1.074346413,0.03221904011,0.04979503261,0.796276943,0.07301881086,0.1233755818,1.046463589,0.1470426104,0.1737025575
