epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,1.3929915579641294,0.8692068325885718,0.623912371361689,0.8581081081081081,0.6674578904575481,0.6919360495274977,0.001,True
2,0.7730017817461113,0.642118210728104,0.8674086833620424,0.9018282988871225,0.7375580295366794,0.7634575052666036,0.001,True
3,0.6543736448557963,0.5996730486804617,0.8947926328342388,0.9054054054054054,0.7424960612188192,0.768524225438636,0.001,True
4,0.6202276279382827,0.5845597674433491,0.9004902610308732,0.9042130365659777,0.7501379793437252,0.7810826595255786,0.001,True
5,0.59895786188247,0.5778934047786913,0.9088379488538492,0.9069952305246423,0.7908165541206663,0.8264649734391252,0.001,True
6,0.5848206596573325,0.5716503578073838,0.9147122476922397,0.9105723370429253,0.7804874858887392,0.8166523098047396,0.001,True
7,0.5748066849350735,0.5687713701698474,0.9164789541098008,0.9089825119236884,0.7923863853685464,0.8237979110440252,0.001,True
8,0.5703856421624764,0.56769210697168,0.9177156486020935,0.910174880763116,0.7924275992861168,0.8289779714711373,0.001,True
9,0.5570502979327552,0.5637330220499933,0.921911576343801,0.9113672496025437,0.7912979853168967,0.8218997951011187,0.001,True
10,0.5556824837576126,0.563444945126156,0.923369109138289,0.9093799682034976,0.777049963128081,0.8134998029973695,0.001,True
11,0.5460667843890482,0.5613900519706108,0.9256216598206793,0.9145468998410174,0.8116084136469909,0.8468899338067226,0.001,True
12,0.5425883995592107,0.5606078268613649,0.9278742105030696,0.9089825119236884,0.7986943806668231,0.8307651396493826,0.001,True
13,0.5357470745375034,0.5595805106746753,0.9307451084316064,0.9125596184419714,0.8100381939081717,0.8412489282391886,0.001,True
14,0.5339379949223463,0.5615730134026993,0.9309659467338015,0.9133545310015898,0.7814107039359294,0.8181935158727073,0.001,False
15,0.5304155820255634,0.5644569908681848,0.9322909765469723,0.9117647058823529,0.7914535528106257,0.8249491184016214,0.001,False
16,0.5238313717377396,0.5617828046005746,0.9337926770018992,0.910174880763116,0.7924584268281356,0.8190734506797012,0.001,False
17,0.5220190214503175,0.5639160575851537,0.9344551919084846,0.9121621621621622,0.7834391494016285,0.8161359914831239,0.001,False
18,0.5190721584721655,0.5627131263099149,0.9358685570425335,0.915341812400636,0.7963410497817699,0.826134862643226,0.001,False
19,0.5159315661745681,0.5654439962156627,0.9377235987809726,0.9141494435612083,0.7925004655254221,0.8262048736328612,0.001,False
20,0.5121473676771574,0.56342562545085,0.9392694668963385,0.9145468998410174,0.8006484951245308,0.83021535607294,0.001,False
21,0.5103639417381538,0.5642259879028854,0.9406386643699484,0.9109697933227345,0.7932551752094401,0.8224949926518594,0.001,False
22,0.5057647374745029,0.5651637618985199,0.9422287001457533,0.9129570747217806,0.796367253345636,0.8172260770780225,0.001,False
23,0.5055667197955465,0.5688396925387966,0.943377059317168,0.9137519872813991,0.7836856885420458,0.8172326431263544,0.001,False
24,0.5024006767977116,0.5673560973002156,0.9439512389028754,0.9149443561208267,0.7977738448059141,0.8301595205289738,0.001,False
25,0.5009401482373422,0.5682269044824548,0.9448787597720949,0.9141494435612083,0.8043314656224825,0.8289013527490665,0.001,False
26,0.49626254676314063,0.5674632713790918,0.946733801510534,0.9157392686804452,0.7894780149929485,0.8215756011403194,0.001,False
27,0.49925731176264554,0.568134701972167,0.9463804602270218,0.9141494435612083,0.8136703530966741,0.8345143878571547,0.001,False
28,0.495226648514528,0.5716919344635192,0.9458504483017535,0.9129570747217806,0.7829880928462744,0.8101222884684843,0.001,False
29,0.4918345813958459,0.5703491412209782,0.9493396934764365,0.915341812400636,0.8009460073939668,0.8258532664828755,0.001,False
30,0.4907839709986573,0.5717823928035499,0.9495163641181926,0.9173290937996821,0.7980310059077633,0.8277240235312968,0.001,False
31,0.4871962278413981,0.5721212284364079,0.9519455854423391,0.9165341812400636,0.801032893508081,0.8293994051095057,0.001,False
32,0.48510093373132096,0.5704080763795607,0.9523872620467294,0.9149443561208267,0.7975382661907837,0.8230101492850144,0.001,False
33,0.4820741482602587,0.5694500962198255,0.9539331301620954,0.9161367249602543,0.8046429933600657,0.8357136194702764,0.001,False
