epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,1.4437667554104685,0.9153482487550366,0.5990434825045142,0.847167325428195,0.672090599161584,0.6914636158805685,0.001,True
2,0.8368824911259504,0.6571546900832553,0.8516909862866624,0.8924022837066315,0.7305178522068255,0.7395840272416473,0.001,True
3,0.6957899585230262,0.6010484508008459,0.8843394661070714,0.9038208168642952,0.7874802583833584,0.8065971050651727,0.001,True
4,0.65980092052729,0.5810195236913877,0.89165975306232,0.9090909090909091,0.793278279264304,0.8119634694590347,0.001,True
5,0.6367711336283074,0.5677750731540658,0.8980040017568689,0.9095300834431269,0.7931913634313161,0.8087579310405519,0.001,True
6,0.6234485029906643,0.5650103624106815,0.9031282026255429,0.9104084321475626,0.8041682733081679,0.8221608363880762,0.001,True
7,0.6107540588201817,0.560124601430939,0.9047386657556976,0.9143610013175231,0.8109603281133586,0.833203408092434,0.001,True
8,0.5997690469627237,0.5569097464368382,0.9102532819286516,0.9104084321475626,0.8075725851139575,0.8298242722935133,0.001,True
9,0.5951859258487256,0.556453116797647,0.9112293201893514,0.9104084321475626,0.8078072278560927,0.826160686447994,0.001,True
10,0.5883874902613055,0.5520762331296228,0.913767019667171,0.9148001756697409,0.8146540059692887,0.8313938757595063,0.001,True
11,0.5828923406290756,0.5520094624202294,0.9141086330584159,0.9165568730786122,0.8079706144318107,0.828121171487419,0.001,True
12,0.5793142019931524,0.5483016938455386,0.9168415401883754,0.9174352217830478,0.8166715330715336,0.8360676636968721,0.001,True
13,0.5761248187546174,0.5502278193811811,0.9172807574056903,0.9152393500219587,0.812018820355623,0.830223414866964,0.001,False
14,0.5719854583340446,0.5494472688365831,0.91923283392709,0.9165568730786122,0.8154076774379082,0.8350190376106695,0.001,False
15,0.5670200719484781,0.5496568877968183,0.9208920989702797,0.9178743961352657,0.8103216521941056,0.8303305401400375,0.001,False
16,0.5611206086216207,0.546936566781516,0.9229417793177492,0.9139218269653052,0.8152611212592732,0.8347600918348468,0.001,True
17,0.5540439238992049,0.5432216736586616,0.9260651017519886,0.9161176987263944,0.8446235826840537,0.8638301143377632,0.001,True
18,0.553280216540688,0.5452790164507739,0.9247474501000439,0.922266139657444,0.8153337146424262,0.8357138905937109,0.001,False
19,0.5586505377224567,0.5509896802179741,0.9227465716656092,0.9161176987263944,0.8098180557296055,0.8331240323805252,0.001,False
20,0.557422131932641,0.5495116480306727,0.9232833927089942,0.9165568730786122,0.8248323730729473,0.8488718172499244,0.001,False
21,0.5533968388211075,0.5450671344511228,0.924357034795764,0.9143610013175231,0.8286984349377681,0.849790440291183,0.001,False
22,0.5497229985067759,0.5483950680161863,0.9262603094041286,0.9152393500219587,0.8392425138256192,0.8555254242008271,0.001,False
23,0.547287032816096,0.5503161488314391,0.9257234883607437,0.9174352217830478,0.8168593506329599,0.8378134653581732,0.001,False
24,0.5485303026883681,0.5479062145406549,0.9259674979259187,0.9152393500219587,0.8147907796363029,0.8354429556582631,0.001,False
25,0.5403936976982963,0.5454010531522225,0.9308964911424528,0.9169960474308301,0.8265785725787289,0.8451984738853676,0.001,False
26,0.5379200278854575,0.5427658811807109,0.9307988873163828,0.9213877909530084,0.846598964152527,0.8678313486778172,0.001,True
27,0.5364175715029813,0.5445711052517227,0.9322629447074325,0.9244620114185331,0.8499356510616122,0.8706223248187327,0.001,False
28,0.5355011032648186,0.5446168028790018,0.9315797179249427,0.9200702678963548,0.8480758612732097,0.8672159366401304,0.001,False
29,0.5339139606795474,0.5466647915637016,0.9321165389683276,0.9235836627140975,0.8350912196439116,0.857039566737002,0.001,False
30,0.5329815696281893,0.547871737585918,0.9341662193157971,0.9187527448397014,0.8315217837060037,0.8534217651920966,0.001,False
31,0.5311736285811572,0.551433364340858,0.9343126250549022,0.9187527448397014,0.8275139858595632,0.8494640378498014,0.001,False
32,0.5314935335919365,0.5497944630914787,0.9337270020984823,0.9169960474308301,0.8261319738574314,0.8499342962449462,0.001,False
33,0.5279274600170337,0.5466670680056552,0.9335805963593773,0.9213877909530084,0.828426926943833,0.852806209789451,0.001,False
34,0.5246003572521142,0.5466318971816521,0.9368991264457567,0.9218269653052261,0.8334572031533332,0.8556939340972382,0.001,False
35,0.522881864492043,0.5472447302030481,0.9377775608803866,0.9169960474308301,0.8114763101472038,0.835093446554562,0.001,False
36,0.5224956719693011,0.5492952076761567,0.9369967302718266,0.9187527448397014,0.830870239570929,0.851403416747176,0.001,False
37,0.5204133691017929,0.5499509412518813,0.9385583914889464,0.9209486166007905,0.8325258366984826,0.8529203259548321,0.001,False
38,0.5173586782672139,0.5510075936256713,0.9382655800107365,0.9183135704874835,0.8305576006043764,0.8510099306494172,0.001,False
39,0.517108907197988,0.548985232739371,0.9392416182714363,0.919631093544137,0.8302464786097581,0.8483733704199585,0.001,False
40,0.5156981610610727,0.5503192709682801,0.9410960909667659,0.9227053140096618,0.8285490192583742,0.8492251651710295,0.001,False
41,0.5135085427809364,0.5505524664842407,0.9428529598360256,0.9191919191919192,0.8172446263268041,0.8363638586645629,0.001,False
42,0.5141096988398453,0.5542495554091379,0.9409496852276609,0.9143610013175231,0.8149724866141315,0.8333295808114208,0.001,False
43,0.5179180225884547,0.554339376415241,0.9402664584451711,0.9143610013175231,0.8282395511996165,0.8453536584391446,0.001,False
44,0.5177847008760755,0.5541494478507162,0.9402664584451711,0.9148001756697409,0.813554814282825,0.8354222150725416,0.001,False
45,0.520611045359518,0.5559651691190077,0.9380703723585965,0.9165568730786122,0.8290328659737358,0.8510166574297893,0.001,False
46,0.5165931334415726,0.55700627344975,0.9410960909667659,0.9130434782608695,0.8272426576208265,0.846607670156709,0.001,False
