epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,1.4197979011909272,1.129446851901519,0.7853003075926825,0.8458624708624709,0.3448915249358848,0.3327458268765047,0.001,True
2,1.1180867013410976,1.0692555351412936,0.8408288813339809,0.8522727272727273,0.37082728110443,0.3644447047790157,0.001,True
3,1.0855771225788302,1.048874070872238,0.8440019426906266,0.8560606060606061,0.3828097506311945,0.37206331058662134,0.001,True
4,1.070503779586241,1.0387679513517794,0.8457827424316011,0.8548951048951049,0.38548855479423627,0.37414039039621944,0.001,True
5,1.062484427708068,1.031760280226772,0.8485996438400518,0.8537296037296037,0.3818040318247622,0.3717218604210597,0.001,True
6,1.0560389584199652,1.0254457744407208,0.8478549457665533,0.8572261072261073,0.38352606383848536,0.37422418969075616,0.001,True
7,1.0482030052129014,1.021629800329675,0.8485672656629432,0.8543123543123543,0.386515119943699,0.37318097018099616,0.001,True
8,1.0466649616384112,1.0178455745145714,0.8498947709243969,0.8595571095571095,0.3854738534532096,0.3753606226094254,0.001,True
9,1.04524256149426,1.0148632512503848,0.8498947709243969,0.8569347319347319,0.38851294824998095,0.3759342087882457,0.001,True
10,1.0401772899575192,1.0145116669314724,0.8500566618099401,0.8586829836829837,0.38588571388305526,0.3761898195418606,0.001,True
11,1.038973842428324,1.012027170274641,0.8514165452485025,0.8583916083916084,0.3867914741808734,0.37612315144112823,0.001,True
12,1.0358530246036153,1.0097376072045527,0.8502185526954833,0.8575174825174825,0.38895210694618504,0.3765438353854956,0.001,True
13,1.0326420247834613,1.0076220410687107,0.8506070908207868,0.8572261072261073,0.3905167995299712,0.3768772887350369,0.001,True
14,1.0329883809882459,1.0073047587365815,0.8521288651448924,0.8586829836829837,0.38276433475550287,0.37469528641507455,0.001,True
15,1.0301766815319868,1.0048527953785895,0.8513194107171767,0.8589743589743589,0.3910204877129155,0.37841036010899104,0.001,True
16,1.0304152556061648,1.0035369710210875,0.8521612433220009,0.8598484848484849,0.3970087059278722,0.3893789543826557,0.001,True
17,1.0291283271103127,1.0040970346032878,0.8533916140521288,0.8563519813519813,0.3881334554224376,0.37599769867763544,0.001,False
18,1.0274075907180278,1.0031511928095962,0.8515136797798284,0.8601398601398601,0.39559200383712767,0.3863802773561424,0.001,True
19,1.0267700323650168,1.0018999448745123,0.8519669742593492,0.8604312354312355,0.3897517261853061,0.37864414971067933,0.001,True
20,1.0266691929857497,1.0009442473347092,0.85242026873887,0.8607226107226107,0.39669951156064315,0.38991011076839305,0.001,True
21,1.0253836149997226,1.0013621309142569,0.853553504937672,0.8613053613053613,0.4006508642276429,0.39341196041404647,0.001,False
22,1.0268187306354555,0.9992128040962842,0.8508337380605472,0.8583916083916084,0.39824686030892614,0.39088968907124,0.001,True
23,1.0236360202700996,1.000039348235497,0.85242026873887,0.8601398601398601,0.4010573724142173,0.3920847584073935,0.001,False
24,1.02167152876759,0.9994833905657966,0.8537477740003238,0.8604312354312355,0.3970906119984139,0.39165732934900355,0.001,False
25,1.0201535101401606,0.9972270565988857,0.8553019265015379,0.8607226107226107,0.398510353698344,0.39032144707135413,0.001,True
