epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,1.4205353481977603,0.8897119459016618,0.757519831633479,0.9102564102564102,0.5920075195255913,0.5761648021562127,0.001,True
2,0.8645599753875571,0.783877738983759,0.9076898170632993,0.9192890442890443,0.6889190106892379,0.6765597141864543,0.001,True
3,0.8084239901260436,0.755749214779247,0.9156548486320221,0.9222027972027972,0.7506227272637545,0.7200583245660502,0.001,True
4,0.7864076204780084,0.7425215422134577,0.9193135826452971,0.9233682983682984,0.7527566788331331,0.7105059985268993,0.001,True
5,0.7719906087714491,0.7351689716596981,0.9218390804597701,0.9236596736596736,0.7564477534966311,0.722829963644569,0.001,True
6,0.763198008791266,0.7311310873720751,0.9232313420754411,0.923951048951049,0.7775386630245645,0.7220889367996054,0.001,True
7,0.7585157209525742,0.7271995980700691,0.9242026873887,0.9242424242424242,0.7561058633795621,0.7147387426887479,0.001,True
8,0.7531191070160473,0.724154422194252,0.9246883600453294,0.9245337995337995,0.7561859185604546,0.7196757566058145,0.001,True
9,0.7503230367043421,0.7245584045534645,0.9261129998381091,0.9236596736596736,0.786245006909927,0.7317690552021908,0.001,False
10,0.746509294120436,0.7219208881849454,0.9267929415573903,0.9254079254079254,0.7632938381657958,0.7249642408763445,0.001,True
11,0.7438277403880269,0.7198099920521805,0.9253683017646106,0.923951048951049,0.76581086238849,0.7172377909901573,0.001,True
12,0.7403455272488211,0.7174722720415164,0.9271167233284766,0.9251165501165501,0.7663086494137029,0.7210745470558515,0.001,True
13,0.7386239707518187,0.7181091850454157,0.9285089849441477,0.9251165501165501,0.8027901617949467,0.7364771706387596,0.001,False
14,0.7367128164594143,0.7161757948793176,0.9294479520802978,0.9271561771561772,0.7761987897083049,0.7244748992960092,0.001,True
15,0.7348633826985143,0.7155845404227019,0.9297717338513841,0.9262820512820513,0.7732119702802677,0.7239238895905211,0.001,True
16,0.735608284861713,0.7147197145404238,0.9289299012465598,0.9245337995337995,0.7844353383883246,0.7304954066234416,0.001,True
17,0.7309526878420697,0.7119247955042165,0.9305488101019913,0.9265734265734266,0.8170644093572602,0.7459617508042631,0.001,True
18,0.7307204085683985,0.7119090425106751,0.930484053747774,0.9277389277389277,0.7829897451702731,0.7353208337354644,0.001,True
19,0.7306485854828649,0.7124619057406356,0.9296422211429497,0.928030303030303,0.7836679368972637,0.7350388732902484,0.001,False
20,0.7289589520814601,0.7114216276815721,0.9306135664562085,0.9291958041958042,0.7741638344746352,0.7338969432200401,0.001,True
21,0.7273426728378285,0.7122521757523774,0.9309697264044035,0.925990675990676,0.8168596125471886,0.7442956079851737,0.001,False
22,0.725925432282859,0.7104429110780462,0.9317468026550105,0.9289044289044289,0.8346852554684472,0.8008155629296333,0.001,True
23,0.7253261974603975,0.7095674694557013,0.9305488101019913,0.928030303030303,0.7977897133953598,0.742691573727118,0.001,True
24,0.7275533568421015,0.7127851809099282,0.9310668609357293,0.9271561771561772,0.8100741476432861,0.7439428359972987,0.001,False
25,0.7229824661957671,0.7091432495828554,0.9314553990610329,0.9277389277389277,0.8011798971382713,0.7440459248954291,0.001,True
26,0.7244240228481734,0.70952149968603,0.9314553990610329,0.9274475524475524,0.8517390427545252,0.8042940672849229,0.001,False
27,0.724843623411584,0.7084790941996452,0.9306459446333172,0.9303613053613053,0.8105433065423262,0.7511364577740818,0.001,True
28,0.721317018664769,0.7092934496752865,0.9333980896875506,0.9254079254079254,0.8088339494142445,0.7376615466112043,0.001,False
29,0.7197549668372748,0.7073016518201584,0.9338190059899628,0.9297785547785548,0.8322339434439634,0.8009610022149029,0.001,True
30,0.7190892640066433,0.7070413035946292,0.9334952242188764,0.9309440559440559,0.7905052470359483,0.7414533840912795,0.001,True
31,0.7198542431525202,0.7073201277317145,0.9335923587502024,0.9297785547785548,0.828906583912287,0.8052583099235897,0.001,False
32,0.7205168543383781,0.7084256039632784,0.9314877772381415,0.9271561771561772,0.8099859542382163,0.745377828848553,0.001,False
33,0.7173951871595433,0.7054089435608515,0.9335599805730938,0.9312354312354313,0.8559414501770694,0.819180535694661,0.001,True
34,0.718248661714251,0.7072640508760661,0.9342723004694836,0.925990675990676,0.8551622906953099,0.7990201978470509,0.001,False
35,0.7193918786350724,0.7062836338034321,0.9330095515622471,0.9303613053613053,0.8104601855152596,0.7493883382342631,0.001,False
36,0.7162441947515369,0.704851396433957,0.935016998542982,0.9289044289044289,0.862310558290158,0.8172955549624021,0.001,True
37,0.7171591774398732,0.7051444442677887,0.9334304678646592,0.9300699300699301,0.8524539855705416,0.8133176039488553,0.001,False
38,0.7148090214121008,0.706834079780223,0.9346284604176784,0.9277389277389277,0.8070520545862713,0.7660528214919232,0.001,False
39,0.7158274400209134,0.7067848282816249,0.9344341913550267,0.928030303030303,0.8494262942276273,0.8071233605385856,0.001,False
40,0.7155294240785104,0.70693874442494,0.933268576979116,0.9262820512820513,0.8008649443547072,0.744111423055412,0.001,False
41,0.7138427128852793,0.7043720913100076,0.9346932167718958,0.9312354312354313,0.8561370542765989,0.8186402447465018,0.001,True
42,0.7153811652239268,0.7045346684667059,0.9335276023959851,0.9303613053613053,0.846416217054324,0.813861472384803,0.001,False
43,0.7127783128353352,0.7087212077109686,0.9366359073984135,0.925990675990676,0.8578693305103863,0.8000035847111578,0.001,False
44,0.7140482391414855,0.7073450109341761,0.935891209324915,0.9277389277389277,0.85910783794676,0.8102474183706995,0.001,False
45,0.7126077533713896,0.7055647987307925,0.9352112676056338,0.9291958041958042,0.8082121976344202,0.7525862708100203,0.001,False
46,0.7142967192239316,0.7052381554127851,0.9323943661971831,0.9303613053613053,0.8088032504427062,0.7551582494869067,0.001,False
47,0.7144193692714511,0.7058651997492864,0.9356321839080459,0.928030303030303,0.8484229522521943,0.8133850498882812,0.001,False
48,0.7114525943584421,0.7046366763281655,0.9354055366682856,0.9291958041958042,0.8624629711720658,0.8216696836345064,0.001,False
49,0.7110672699627375,0.702285454684482,0.9355998057309374,0.9306526806526807,0.8533001225602036,0.8220255987352061,0.001,True
50,0.7100444783665745,0.7053421510683073,0.9356321839080459,0.9291958041958042,0.8555308020705614,0.8204109192395014,0.001,False
51,0.7097911787260808,0.70404034616786,0.9364740165128703,0.9309440559440559,0.8535215115577912,0.8245863083518327,0.001,False
52,0.7106639759390413,0.7050051473793172,0.9362473692731099,0.9277389277389277,0.8609675810003602,0.8162898010859228,0.001,False
53,0.711731949395996,0.7040954817147244,0.934498947709244,0.9277389277389277,0.85202063082802,0.8168069949690024,0.001,False
54,0.7110372932883205,0.703777903721327,0.9349198640116562,0.9286130536130536,0.8555416830644789,0.8199857971364991,0.001,False
