epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,1.2826956701352021,0.9271927652381239,0.8240569855917111,0.8948135198135199,0.4980913617513341,0.4861949568249378,0.001,True
2,0.9117984078357728,0.8431670337845951,0.893152015541525,0.902972027972028,0.5091609653246455,0.4913166255378854,0.001,True
3,0.8674945180810191,0.8174124392040404,0.8992714910150559,0.9026806526806527,0.5121760798958437,0.49533523454393935,0.001,True
4,0.8512049942837191,0.8068904914222397,0.9018293670066375,0.9087995337995338,0.51499483354789,0.5109821070847246,0.001,True
5,0.8417813402926707,0.7996932823896964,0.9018293670066375,0.907051282051282,0.5101043047917462,0.5014714514497904,0.001,True
6,0.8358682491795925,0.7971699346195568,0.9036749231018294,0.9044289044289044,0.5332533114217655,0.5312513430031821,0.001,True
7,0.8304753295441594,0.7922431616794258,0.9024445523717015,0.9067599067599068,0.5262023233579339,0.528312842803627,0.001,True
8,0.8261235718474682,0.7891998202094943,0.9053909664885867,0.9061771561771562,0.5292578608185701,0.53076865113443,0.001,True
9,0.8234240908404278,0.7915423110926346,0.9049700501861745,0.9038461538461539,0.5643626119011631,0.5471419968887126,0.001,False
10,0.8207803925245117,0.7876763264616052,0.9057795046138902,0.9044289044289044,0.556131173548406,0.5515926027592168,0.001,True
11,0.8177033364512262,0.7860887431320333,0.9066213372187146,0.9032634032634033,0.575959260932496,0.5642109474134664,0.001,True
12,0.8163298414945024,0.785008449376602,0.9068803626355836,0.9064685314685315,0.5550678577103902,0.5510892352678199,0.001,True
13,0.8137638016505131,0.7837581134342647,0.9061356645620852,0.9038461538461539,0.5996116918136403,0.5798391446633789,0.001,True
14,0.8117760733510562,0.7824726572959295,0.9071717662295613,0.9087995337995338,0.5814167475726373,0.5726461900030442,0.001,True
15,0.8095284851697033,0.7820568500143109,0.906847984458475,0.9067599067599068,0.5975405884808672,0.5832783373124841,0.001,True
16,0.8106823923731769,0.7805255130454377,0.9076898170632993,0.9038461538461539,0.6073789102312569,0.5818982937902976,0.001,True
17,0.8077685299285585,0.778427660326302,0.9085316496681237,0.9067599067599068,0.5885565499096841,0.5840074630083495,0.001,True
18,0.8083032488398362,0.7786539955572649,0.907981220657277,0.9058857808857809,0.5903032926100389,0.5734110257110999,0.001,False
19,0.8072966594110902,0.7785300413767496,0.9089849441476445,0.9117132867132867,0.5897648322597809,0.5916185634954372,0.001,False
20,0.8069676040503051,0.7775451889682761,0.9080459770114943,0.9085081585081585,0.5917255888093645,0.5848558562928315,0.001,True
21,0.8046982053878992,0.7776314364724504,0.9092115913874049,0.9061771561771562,0.625980239024755,0.6027688092744167,0.001,False
22,0.8034592189776467,0.7765579345898751,0.9082726242512547,0.9093822843822844,0.596309851823353,0.5818443195861811,0.001,True
23,0.8018137580583797,0.7751589577236931,0.9078840861259511,0.9085081585081585,0.609805557135075,0.6034119081319637,0.001,True
24,0.8007431799990663,0.775605774148083,0.9089525659705359,0.9073426573426573,0.6176056554256178,0.5987246111976946,0.001,False
25,0.8002324329141237,0.7746772460448437,0.907981220657277,0.9087995337995338,0.6192842898705564,0.6034677231881758,0.001,True
26,0.8011250017683965,0.7741319702499674,0.9093411040958395,0.9041375291375291,0.6227530138652733,0.602188054927148,0.001,True
